symbol,consonantal,sonorant,continuant,lateral,strident,place,lips,round,labial,tongue_blade,anterior,distributed,coronal,tongue_body,high,low,back,dorsal,soft_palate,nasal,guttural,tongue_root,rtr,larynx,slack_vocal_folds
a,-,+,+,,,+,,,,,,,,+,-,+,+,,,,,,,,
i,-,+,+,,,+,,,,,,,,+,+,-,-,,,,,,,,
e,-,+,+,,,+,,,,,,,,+,-,-,-,,,,,,,,
u,-,+,+,,,+,+,+,,,,,,+,+,-,+,,,,,,,,
o,-,+,+,,,+,+,+,,,,,,+,-,-,+,,,,,,,,
ɔ,-,+,+,,,+,+,+,,,,,,+,-,+,+,,,,,,,,
p,+,-,-,,,+,+,,+,,,,,,,,,,,,,,,,
b,+,-,-,,,+,+,,+,,,,,,,,,,,,+,,,+,+
f,+,-,+,,,+,+,,+,,,,,,,,,,,,,,,,
m,+,+,-,,,+,+,,+,,,,,,,,,,+,+,,,,,
t,+,-,-,,,+,,,,+,+,-,+,,,,,,,,,,,,
d,+,-,-,,,+,,,,+,+,-,+,,,,,,,,+,,,+,+
tˤ,+,-,-,,,+,,,,+,+,-,+,,,,,,,,+,+,+,,
dʒ,+,-,+,,+,+,,,,+,-,+,+,,,,,,,,+,,,+,+
l,+,+,+,+,,+,,,,+,+,-,+,,,,,,,,,,,,
r,+,+,+,-,,+,,,,+,+,-,+,,,,,,,,,,,,
n,+,+,-,,,+,,,,+,+,-,+,,,,,,+,+,,,,,
k,+,-,-,,,+,,,,,,,,+,+,-,+,+,,,,,,,
g,+,-,-,,,+,,,,,,,,+,+,-,+,+,,,+,,,+,+
gʲ,+,-,-,,,+,,,,,,,,+,+,-,-,+,,,+,,,+,+
q,+,-,-,,,+,,,,,,,,+,-,-,+,+,,,,,,,
x,+,-,+,,,+,,,,,,,,+,+,-,+,+,,,,,,,
χ,+,-,+,,,+,,,,,,,,+,-,-,+,+,,,,,,,
ŋ,+,+,-,,,+,,,,,,,,+,+,-,+,+,+,+,,,,,
ŋʲ,+,+,-,,,+,,,,,,,,+,+,-,-,+,+,+,,,,,
nˠ,+,+,-,,,+,,,,+,+,-,+,+,,,+,,+,+,,,,,
nʲ,+,+,-,,,+,,,,+,+,-,+,+,,,-,,+,+,,,,,
