ipa,gloss,Laryngeal colouring after a laryngeal,Laryngeal colouring before a laryngeal,Centumization,'u' epenthesis,Dental cluster simplification,Geminate shortening,Overlong vowels creation,Loss of initial laryngeals,Cowgill's law,Loss of laryngeals after vowels,Loss of laryngeals before vowels,Vowel contraction in hiatus,Vocalisation of remaining laryngeals,Velar labialization,Labiovelar delabialization,Word-final non-high short vowel loss,Grimm's law,Verner's law,Stress change to first syllable,Word-initial */gʷ/ > */b/,Unstressed */owo/ > */oː/,Unstressed */ew/ > */ow/ before a consonant or word-finally,Unstressed */e/ > */i/ except before */r/,Unstressed */ji/ > */i/,Merging of non-high back vowels,Word-final */m/ > */n/,"*/m/ > */n/ before */t/, */d/, */θ̠/, */ð̠/",Final /n/ loss,Lowering of nasal */ẽː/ to */ɑ̃ː/,Elimination of */ə/,Assimilation of sonorants,Final /t/ loss,*/gʷ/ > */w/,Long /ɑ/ raising,Early i-mutation,/e/ to /i/ before a syllable-final nasal,Loss of intervocalic *j,*/aː/ > */oː/
meħˈteːr,mother,,maħˈteːr,,,,,,,,maːˈteːr,,,,,,,maːˈθ̠eːr,maːˈð̠eːr,ˈmaː.ð̠eːr,,,,,,,,,,,,,,,,,,,ˈmoː.ð̠eːr
ˈbʱleʁʷmoː,bloom,,ˈbʱlo.ʁʷmoː,,,,,ˈbʱlo.ʁʷmoːː,,,ˈbʱloː.moːː,,,,,,,ˈbloː.moːː,,,,,,,,ˈblɑː.mɑːː,,,,,,,,,ˈblɔː.mɔːː,,,,
ˈwergʲom,work,,,ˈwer.gom,,,,,,,,,,,,,,ˈwer.kom,,,,,,,,ˈwer.kɑm,ˈwer.kɑn,,ˈwer.kɑ̃,,,,,,,,,,
n̩ˈter,under,,,,unˈter,,,,,,,,,,,,,unˈθ̠er,unˈð̠er,ˈun.ð̠er,,,,,,,,,,,,,,,,,,,
ˈwl̩kʷos,wolf,,,,ˈwul.kʷos,,,,,,,,,,,,,ˈwul.xʷos,ˈwul.xʷoz,,,,,,,ˈwul.xʷɑz,,,,,,,,,,,,,
ˈwr̩mis,worm,,,,ˈwur.mis,,,,,,,,,,,,,,ˈwur.miz,,,,,,,,,,,,,,,,,,,,
ˈχdontm̩,tooth,,,,ˈχdon.tum,,,,ˈdon.tum,,,,,,,,,ˈton.θ̠um,,,,,,,,ˈtɑn.θ̠um,ˈtɑn.θ̠un,,ˈtɑn.θ̠ũ,,,,,,,,,,
ˈχesti,is,,,,,,,,,,,ˈes.ti,,,,,,,,,,,,,,,,,,,,,,,,ˈis.ti,,,
gʷiˈʁʷwos,quick,,,,,,,,,gʷiˈgwos,,,,,gʷiˈgʷos,,,kʷiˈkʷos,,ˈkʷi.kʷos,,,,,,ˈkʷi.kʷɑs,,,,,,,,,,,,,
ˈpħteːr,father,,,,,,,,,,,,,pəˈteːr,,,,ɸəˈθ̠eːr,ɸəˈð̠eːr,ˈɸə.ð̠eːr,,,,,,,,,,,ˈɸɑ.ð̠eːr,,,,,,,,
ˈsamħdʱos,sand,,,,,,,,,,,,,ˈsa.mə.dʱos,,,,ˈsa.mə.dos,ˈsa.mə.doz,,,,,,,ˈsa.mə.dɑz,,,,,ˈsam.dɑz,,,,,,,,
ˈnokʷts,night,,,,,,,,,,,,,,,ˈnokts,,ˈnoxts,,,,,,,,ˈnɑxts,,,,,,,,,,,,,
n̩ˈswe,us,,,,unˈswe,,,,,,,,,,,,ˈuns,,,,,,,,,,,,,,,,,,,,,,
ˈtod,that,,,,,,,,,,,,,,,,,ˈθ̠ot,,,,,,,,ˈθ̠ɑt,,,,,,,,,,,,,
ˈħekʲsleħ,axle,ˈħa.kʲsleħ,ˈħa.kʲslaħ,ˈħa.kslaħ,,,,,,,ˈħa.kslaː,ˈa.kslaː,,,,,,ˈax.slaː,,,,,,,,,,,,,,,,,,,,,ˈax.sloː
ˈkʷod,what,,,,,,,,,,,,,,,,,ˈxʷot,,,,,,,,ˈxʷɑt,,,,,,,,,,,,,
okʲˈtoːw,eight,,,okˈtoːw,,,,,,,,,,,,,,oxˈtoːw,oɣˈtoːw,ˈoɣ.toːw,,,,,,ˈɑɣ.tɑːw,,,,,,,,,ˈɑɣ.tɔːw,,,,
ˈħeboːl,apple,ˈħa.boːl,,,,,,,,,,ˈa.boːl,,,,,,ˈa.poːl,,,,,,,,ˈa.pɑːl,,,,,,,,,ˈa.pɔːl,,,,
ˈdʰoχmos,doom,,,,,,,,,,ˈdʰoː.mos,,,,,,,ˈdoː.mos,ˈdoː.moz,,,,,,,ˈdɑː.mɑz,,,,,,,,,ˈdɔː.mɑz,,,,
ˈgʰans,goose,,,,,,,,,,,,,,,,,ˈgans,,,,,,,,,,,,,,,,,,,,,
ˈsongʷʰos,song,,,,,,,,,,,,,,,,,ˈson.gʷos,ˈson.gʷoz,,,,,,,ˈsɑn.gʷɑz,,,,,,,,ˈsɑ.nwɑz,,,,,
uˈperi,over,,,,,,,,,,,,,,,,,uˈɸe.ri,uˈβe.ri,ˈu.βe.ri,,,,,,,,,,,,,,,,ˈu.βi.ri,,,
ħjuħn̩ˈkʲos,young,,,ħju.ħn̩ˈkos,ħju.ħunˈkos,,,,ju.ħunˈkos,,juː.unˈkos,,juːːnˈkos,,,,,juːːnˈxos,juːːnˈɣos,ˈjuːːn.ɣos,,,,,,ˈjuːːn.ɣɑs,,,,,,,,,,,,,
kʷeˈkʷleħ,wheel,,kʷeˈkʷlaħ,,,,,,,,kʷeˈkʷlaː,,,,,,,xʷeˈxʷlaː,xʷeˈɣʷlaː,ˈxʷe.ɣʷlaː,,,,,,,,,,,,,,,,,,,ˈxʷe.ɣʷloː
χesmi,am,,,,,,,,,,,e.smi,,,,,,,e.zmi,,,,,i.zmi,,,,,,,,im.mi,,,,,,,
ˈtrejes,three,,,,,,,,,,,,,,,,,ˈθ̠re.jes,ˈθ̠re.jez,,,,,ˈθ̠re.jiz,ˈθ̠re.iz,,,,,,,,,,,ˈθ̠riːz,,,
ˈgʰostejes,guest,,,,,,,,,,,,,,,,,ˈgos.te.jes,ˈgos.te.jez,,,,,ˈgos.ti.jiz,ˈgos.tiːz,ˈgɑs.tiːz,,,,,,,,,,,,,
ˈdekʲm̩d,ten,,,ˈde.km̩d,ˈde.kumd,,,,,,,,,,,,,ˈte.xumt,,,,,,,,,,ˈte.xunt,,,,,ˈte.xun,,,,,,
pl̩χˈnos,full,,,,pulˈχnos,,,,,,,,,pu.ləˈnos,,,,ɸu.ləˈnos,,ˈɸu.lə.nos,,,,,,ˈɸu.lə.nɑs,,,,,ˈɸul.nɑs,ˈɸul.lɑs,,,,,,,
ˈsnojgʷʰos,snow,,,,,,,,,,,,,,,,,ˈsnoj.gʷos,ˈsnoj.gʷoz,,,,,,,ˈsnɑj.gʷɑz,,,,,,,,ˈsnɑj.wɑz,,,,,
ˈmedʰjos,mid,,,,,,,,,,,,,,,,,ˈme.djos,ˈme.djoz,,,,,,,ˈme.djɑz,,,,,,,,,,ˈmi.djɑz,,,
ˈnewjos,new,,,,,,,,,,,,,,,,,,ˈnew.joz,,,,,,,ˈnew.jɑz,,,,,,,,,,ˈniw.jɑz,,,
ˈen,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ˈin,,
ˈmuħs,mouse,,,,,,,,,,ˈmuːs,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ˈbʰreħteːr,brother,,ˈbʰraħ.teːr,,,,,,,,ˈbʰraː.teːr,,,,,,,ˈbraː.θ̠eːr,,,,,,,,,,,,,,,,,,,,,ˈbroː.θ̠eːr
ˈsuħnus,son,,,,,,,,,,ˈsuː.nus,,,,,,,,ˈsuː.nuz,,,,,,,,,,,,,,,,,,,,
ˈpoːds,foot,,,,,,,,,,,,,,,,,ˈɸoːθ̠s,,,,,,,,ˈɸɑːθ̠s,,,,,,,,,ˈɸɔːθ̠s,,,,
ˈswekʲs,six,,,ˈsweks,,,,,,,,,,,,,,ˈswexs,,,,,,,,,,,,,,,,,,,,,
dʰugħˈteːr,daughter,,,,,,,,,,,,,dʰu.gəˈteːr,,,,du.kəˈθ̠eːr,du.kəˈð̠eːr,ˈdu.kə.ð̠eːr,,,,,,,,,,,ˈdu.kð̠eːr,,,,,,,,
ˈkʲerd,heart,,,ˈkerd,,,,,,,,,,,,,,ˈxert,,,,,,,,,,,,,,,,,,,,,
ˈgʲonu,knee,,,ˈgo.nu,,,,,,,,,,,,,,ˈko.nu,,,,,,,,ˈkɑ.nu,,,,,,,,,,,,,
ˈħr̩tkʲos,bear (no English descendant — kept to show the bare sound laws),,,ˈħr̩t.kos,ˈħurt.kos,,,,,,,ˈurt.kos,,,,,,ˈurθ̠.kos,ˈurθ̠.koz,,,,,,,ˈurθ̠.kɑz,,,,,,,,,,,,,
